N°,PAIS,UNIVERSIDAD
420,FRANCIA,UNIVERSITE DE VERSAILLES SAINT - QUENTIN - EN - YVELINES
421,FRANCIA,UNIVERSITE GRENOBLE ALPES
422,FRANCIA,UNIVERSITE PARIS CITE
423,FRANCIA,UNIVERSITE PARIS-SACLAY
424,FRANCIA,UNIVERSITE PARIS-SORBONNE (PARIS IV)
425,FRANCIA,UNIVERSITE PARIS-SUD
426,FRANCIA,UNIVERSITE PAUL SABATIER TOULOUSE III
427,FRANCIA,UNIVERSITY OF BORDEAUX
428,FRANCIA,UNIVERSITY OF COTE D AZUR
429,FRANCIA,UNIVERSITY OF LILLE
430,FRANCIA,UNIVERSITY OF LORRAINE
431,FRANCIA,UNIVERSITY OF STRASBOURG
432,FRANCIA,UNIVERSITY OF TOULOUSE 1 CAPITOLE
433,GHANA,UNIVERSITY OF CAPE COAST
434,GRECIA,HAROKOPIO UNIVERSITY
